"connector","collection","collection_description","card","card_description","card_id","data_name","dataset_id"
"ExactTarget QuickStart","Executive Pulse: 5 cards you need to track daily.","","Most Clicked Subjects",,"1069648042","Send Report","bab823eb-7a18-4088-b934-e9bb0b264e42"
"ExactTarget QuickStart","Deliveries & Bounces: Grow your email list without hurting your deliverability.","","Delivery Rate","DELIVERY RATE
Compares the delivery rate to the number of deliveries over the specified time period.  Watch for dips in the delivery rate in conjunction with spikes in send volume. Prevent low delivery rates from adversely affecting the company’s sender score by pruning email lists as necessary.

Delivery Rate = Deliveries / Sends","986560542","Send Report","bab823eb-7a18-4088-b934-e9bb0b264e42"
"ExactTarget QuickStart","Engagement: Increase your audience's response to your messaging.","","Emails Forwarded","EMAILS FORWARDED
Measures the number of deliveries over the specified time period. Identify what types of messaging lead to more forwarding and adjust messaging appropriately.
","1469289914","Send Report","bab823eb-7a18-4088-b934-e9bb0b264e42"
"ExactTarget QuickStart","Engagement: Increase your audience's response to your messaging.","","Most Unsubscribed Subjects",,"1285955278","Send Report","bab823eb-7a18-4088-b934-e9bb0b264e42"
"ExactTarget QuickStart","Engagement: Increase your audience's response to your messaging.","","Open Rate","OPEN RATE
Compares the open rate to the total number of unique opens over the specified time period. If open rates are lower than expected, consider A/B testing variations in messaging to elicit more opens.

Open Rate = Unique Opens / Deliveries","296574417","Send Report","bab823eb-7a18-4088-b934-e9bb0b264e42"
"ExactTarget QuickStart","Engagement: Increase your audience's response to your messaging.","","Click-Through Rate","CLICK-THROUGH RATE
Compares the click-through rate (CTR) to the number of clicks over the specified time period. Consider spreading out total send volume to maximize customer mindshare and reduce email fatigue.

Click-Through Rate (CTR) = Clicks / Deliveries","2124059564","Send Report","bab823eb-7a18-4088-b934-e9bb0b264e42"
"ExactTarget QuickStart","Engagement: Increase your audience's response to your messaging.","","Click-to-Open by Email","CLICK-TO-OPEN BY EMAIL
Shows the click-to-open rate for each email, ordered by total opens in a given period. High click-to-open rates over low open volume could indicate an untapped potential market.","1496356929","Send Report","bab823eb-7a18-4088-b934-e9bb0b264e42"
"ExactTarget QuickStart","Executive Pulse: 5 cards you need to track daily.","","CTR Trend","CTR TREND
Compares the click-through rate to the number of unique clicks over the specified time period. Consider spreading out total send volume to maximize customer mindshare and reduce email fatigue.

Click-Through Rate (CTR) = Unique Clicks / Deliveries","2145626622","Send Report","bab823eb-7a18-4088-b934-e9bb0b264e42"
"ExactTarget QuickStart","Engagement: Increase your audience's response to your messaging.","","Least Clicked Subjects",,"728956312","Send Report","bab823eb-7a18-4088-b934-e9bb0b264e42"
"ExactTarget QuickStart","Engagement: Increase your audience's response to your messaging.","","Click-Through by Email","CLICK-THROUGH BY EMAIL
Shows the click-through rate for each email, Consider spreading out total send volume to maximize customer mindshare and reduce email fatigue.","1983547652","Send Report","bab823eb-7a18-4088-b934-e9bb0b264e42"
"ExactTarget QuickStart","Executive Pulse: 5 cards you need to track daily.","","CTOR Trend","CTOR TREND
Compares the click-to-open rate to the number of unique clicks over the specified time period. Consider using this information to gauge the effectiveness of an email’s messaging in generating leads and adjust ad content appropriately.

Click-to-Open Rate (CTOR) = Unique Clicks / Unique Opens","1141220404","Send Report","bab823eb-7a18-4088-b934-e9bb0b264e42"
"ExactTarget QuickStart","Executive Pulse: 5 cards you need to track daily.","","Top Performing Subjects","TOP PERFORMING SUBJECTS
Ranks the top 10 emails by the number of unique clicks earned. Identify over-performing emails and replicate best practices across your remaining campaigns.","1337005981","Send Report","bab823eb-7a18-4088-b934-e9bb0b264e42"
"ExactTarget QuickStart","Executive Pulse: 5 cards you need to track daily.","","Unsubscribes","UNSUBSCRIBES
Measures the number of unsubscribes over the specified time period. Gauge the effectiveness of your emails. High unsubscribe rates could indicate irrelevant content or poor segmentation targeting.","1386640694","Send Report","bab823eb-7a18-4088-b934-e9bb0b264e42"
"ExactTarget QuickStart","Deliveries & Bounces: Grow your email list without hurting your deliverability.","","Bounce Rate","BOUNCE RATE
Compares the bounce rate to the total number of bounces over the specified time period. Many ISPs use a sender’s bounce rate to determine whether any given message should be considered spam. Identify email lists with high bounce rates and high volume to discover which distribution lists need maintenance.

Bounce Rate = Total Bounces / Sends","2073370222","Send Report","bab823eb-7a18-4088-b934-e9bb0b264e42"
"ExactTarget QuickStart","Deliveries & Bounces: Grow your email list without hurting your deliverability.","","Most Bounced Emails","MOST BOUNCED EMAILS
Ranks emails by the total number of bounces that occurred. Suspend emails that are causing excessive bouncing to prevent triggering ISP blocking and spam filtering.","1248875159","Send Report","bab823eb-7a18-4088-b934-e9bb0b264e42"
"ExactTarget QuickStart","Deliveries & Bounces: Grow your email list without hurting your deliverability.","","Bounces Trend","BOUNCES TREND
Measures the total volume of bounces over the specified period and breaks them into three categories: hard, soft and other bounces. If soft bounces number more than hard bounces, the company’s emails are likely being blocked by ISPs. Consider pruning email lists to improve bounce rates and prevent further blocking.","1050923707","Send Report","bab823eb-7a18-4088-b934-e9bb0b264e42"
"ExactTarget QuickStart","Executive Pulse: 5 cards you need to track daily.","","Emails (Log Scale)","EMAILS (LOG SCALE)
Compares each major stage of an email campaign: sends, deliveries, opens and clicks. Discover recent trends in send, delivery or open rates that might impact the number of clicks your email campaigns are earning.","1215328458","Send Report","bab823eb-7a18-4088-b934-e9bb0b264e42"
