"connector","collection","collection_description","card","card_description","card_id","data_name","dataset_id"
"Adobe EchoSign QuickStart (1)","Executive Pulse: 6 Metrics to check daily.","","Participant Signatures","PARTICIPANT SIGNATURES
Tracks the number of participant signatures over the specified period. Compare signatures with total participants to find changes in overall participation rates.","476253091","Document Info","1764ea4e-bced-4071-be0f-bbf4963f6c7d"
"Adobe EchoSign QuickStart (1)","Executive Pulse: 6 Metrics to check daily.","","User Groups","USER GROUPS
Identifies user groups by membership. If groups become too large to manage, consider breaking them into smaller sub-sets.","1575234837","Users in Account","99e6dbb1-e8f0-41f0-ab9c-37f7aebc72ff"
"Adobe EchoSign QuickStart (1)","Documents & Users: Monitor system usage and users over time.","","User Documents","USER DOCUMENTS
Displays the document statuses of each user. Monitor each user to make sure documents are progressing and expected.","1614961407","My Documents","d3a9b81f-56c7-40ed-974d-a90615b4e910"
"Adobe EchoSign QuickStart (1)","Participants: Gain perspective into how the system is being used.","","Document Participation","DOCUMENT PARTICIPATION
Compares the number of participant signatures to the total number of participants. Identify successful components of documents with high participation rates and replicate them across the rest of your documents.","795434355","Document Info","1764ea4e-bced-4071-be0f-bbf4963f6c7d"
"Adobe EchoSign QuickStart (1)","Documents & Users: Monitor system usage and users over time.","","Document Status","DOCUMENT STATUS
Measures the number of documents in each stage of the completion status. Minimize recalled and waiting documents by creating more engaging content.","1812638047","My Documents","d3a9b81f-56c7-40ed-974d-a90615b4e910"
"Adobe EchoSign QuickStart (1)","Documents & Users: Monitor system usage and users over time.","","Echosign Users","ECHOSIGN USERS
Keep track of the people who currently have access to the system.  Audit users and remove those that should not have access.","2069746164","Users in Account","99e6dbb1-e8f0-41f0-ab9c-37f7aebc72ff"
"Adobe EchoSign QuickStart (1)","Executive Pulse: 6 Metrics to check daily.","","Document Signatures","DOCUMENT SIGNATURES
Displays the top 10 documents that have received the most signatures. Identify popular documents and replicate the components of their success.","971806331","Document Info","1764ea4e-bced-4071-be0f-bbf4963f6c7d"
"Adobe EchoSign QuickStart (1)","Executive Pulse: 6 Metrics to check daily.","","Participant Status","PARTICIPANT STATUS
Tracks the number of documents by status in the specified period. Identify trends in envelope completion to gauge content effectiveness.","781376115","Participants","0c4ada9f-289c-4c6a-a2f5-5ae4d5015ec7"
"Adobe EchoSign QuickStart (1)","Participants: Gain perspective into how the system is being used.","","Days to Signature","DAYS TO SIGNATURE
Tracks the average number of days before a document is signed. Reduce signature intervals by creating more engaging content.","549948413","Participants","0c4ada9f-289c-4c6a-a2f5-5ae4d5015ec7"
"Adobe EchoSign QuickStart (1)","Executive Pulse: 6 Metrics to check daily.","","ESignable Documents","ESIGNABLE DOCUMENTS
Measures the number of ESignable documents by their current status. Compare signature rates of ESign documents to those of non-Sign documents.","1962453240","Document Info","1764ea4e-bced-4071-be0f-bbf4963f6c7d"
"Adobe EchoSign QuickStart (1)","Documents & Users: Monitor system usage and users over time.","","Top Senders","TOP SENDERS
Identifies the users who send the most documents. Analyze usage to pinpoint best practices.","908266885","Participants","0c4ada9f-289c-4c6a-a2f5-5ae4d5015ec7"
"Adobe EchoSign QuickStart (1)","Participants: Gain perspective into how the system is being used.","","Participant Rate","PARTICIPANT RATE
Compares the participation rate with the number of participants over the specified period. Consider investigating the causes of spikes or drops in participation rates.

Participation Rate = Signatures / Participants","839660498","Document Info","1764ea4e-bced-4071-be0f-bbf4963f6c7d"
"Adobe EchoSign QuickStart (1)","Participants: Gain perspective into how the system is being used.","","Participant Company","PARTICIPANT COMPANY
Measures the number of participants per company. Identify companies with heavy participation and find efficient ways to engage with their employees.","1073648370","Participants","0c4ada9f-289c-4c6a-a2f5-5ae4d5015ec7"
"Adobe EchoSign QuickStart (1)","Executive Pulse: 6 Metrics to check daily.","","Document Status","DOCUMENT STATUS 
Shows document status by completion stage. Minimize declined envelopes by creating more engaging content.","1926810578","Participants","0c4ada9f-289c-4c6a-a2f5-5ae4d5015ec7"
