"connector","collection","collection_description","card","card_description","card_id","data_name","dataset_id"
"Lithium QuickStart (1)","Member Participation: How active is your community?","","Active Authors","ACTIVE AUTHORS
Displays all community authors based on post quantity. Identify successful practices of leading active users to establish strategies for increasing overall user activity.","128090779","All Posts","f7bcccc6-bc2b-41a1-8ee8-d88e80633224"
"Lithium QuickStart (1)","Customer Satisfaction: Are members getting solutions to their questions?","","Top 15 Solution Authors","TOP 15 SOLUTION AUTHORS
Displays the leading community authors based on quantity of solutions. Establish and apply best practices for increasing solution quantity.","978681418","All Solutions","5ad9ce3f-b127-42bd-9995-bb188dce740d"
"Lithium QuickStart (1)","Customer Satisfaction: Are members getting solutions to their questions?","","Top 15 Kudoed Authors","TOP 15 KUDOED AUTHORS
Displays the leading community authors based on quantity of kudos. Identify successful practices of leading authors and implement findings to improve customer satisfaction.","587592418","Kudos by Author","a303a5de-c481-4af2-97b7-b241110dc906"
"Lithium QuickStart (1)","Customer Satisfaction: Are members getting solutions to their questions?","","Top 15 Viewed Solutions","TOP 15 VIEWED SOLUTIONS
Shows the community’s most viewed solutions. Pinpoint key solutions to gain insight into customer needs.","1798634253","All Solutions","5ad9ce3f-b127-42bd-9995-bb188dce740d"
"Lithium QuickStart (1)","Executive Pulse: 5 metrics to check daily.","","Most Active Authors","MOST ACTIVE AUTHORS
Displays top users based on quantity of posts. Identify key active users to define best practices for increasing overall user activity.","1797281176","All Posts","f7bcccc6-bc2b-41a1-8ee8-d88e80633224"
"Lithium QuickStart (1)","Executive Pulse: 5 metrics to check daily.","","Leading Authors","LEADING AUTHORS
Displays authors, sized and ordered by their activity in the community through views, kudos and original posts. Use this information to track leading authors in specific metrics and identify best practices within the community.","1821763705","All Posts","f7bcccc6-bc2b-41a1-8ee8-d88e80633224"
"Lithium QuickStart (1)","Member Participation: How active is your community?","","Original Posts vs Replies","ORIGINAL POSTS VS REPLIES
Shows replies as they compare to original posts over time. Use this to identify the ratio of replies to original posts and to stimulate community activity through message threads.","1078993045","All Posts","f7bcccc6-bc2b-41a1-8ee8-d88e80633224"
"Lithium QuickStart (1)","Customer Satisfaction: Are members getting solutions to their questions?","","Solutions by Board","SOLUTIONS BY BOARD
Organizes solutions based on their board within the community. Improve customer satisfaction by pinpointing leading boards and identifying practices for increasing solution quantity.","644462513","All Solutions","5ad9ce3f-b127-42bd-9995-bb188dce740d"
"Lithium QuickStart (1)","Member Participation: How active is your community?","","Top 15 Category Views","TOP 15 CATEGORY VIEWS
Measures category and post views per category. Apply successful elements of highly active categories to improve underperforming categories","777611338","General Category Metrics","3da8185a-ad1d-4147-b1c5-8428c2adfc26"
"Lithium QuickStart (1)","Member Participation: How active is your community?","","Top 15 Board Views","TOP 15 BOARD VIEWS
Measures board and post views per board. Apply successful elements of highly active boards to improve underperforming boards. ","884101728","General Board Metrics","392a818b-7aef-4b14-9a3a-9a4ecedc3d81"
"Lithium QuickStart (1)","Member Participation: How active is your community?","","Posts, Replies and Kudos","POSTS, REPLIES AND KUDOS
Tracks the quantity of posts, replies and kudos over time. Identify causes for increases in community activity and use findings to stimulate community usage. ","41956234","All Posts","f7bcccc6-bc2b-41a1-8ee8-d88e80633224"
"Lithium QuickStart (1)","Executive Pulse: 5 metrics to check daily.","","Post Activity","POST ACTIVITY
Tracks the posts to community over time. Identify root causes for increases and decreases in overall community participation to improve community activity.","1954647023","All Posts","f7bcccc6-bc2b-41a1-8ee8-d88e80633224"
"Lithium QuickStart (1)","Customer Satisfaction: Are members getting solutions to their questions?","","Top 25 Kudos Per Post","TOP 25 KUDOS PER POST
Compares quantity of author posts to kudos. Improve post quality by identifying and applying best practices of highly kudoed authors (author must have a minimum of 5 posts). ","1388731908","All Posts","f7bcccc6-bc2b-41a1-8ee8-d88e80633224"
"Lithium QuickStart (1)","Executive Pulse: 5 metrics to check daily.","","Community Daily Use","COMMUNITY DAILY USE
Shows the percentage of users who have accessed the community today. Use this to track community activity and take actions to increase the amount of active users.","1753043256","Registered Users","ef91f28e-4322-4677-862e-aa693f20d928"
"Lithium QuickStart (1)","Member Quantity: How is your community growing?","","Total Registered Users","TOTAL REGISTERED USERS
Displays a running total of registered users over time. Track the amount of users in the community and identify strategies for increasing overall membership.","1309388641","Registered Users","ef91f28e-4322-4677-862e-aa693f20d928"
"Lithium QuickStart (1)","Member Quantity: How is your community growing?","","New Users Year Over Year","NEW USERS YEAR OVER YEAR
Compares new users this year to the previous year. Monitor membership trends and take actions to increase the quantity of new users yearly.","1547153488","Registered Users","ef91f28e-4322-4677-862e-aa693f20d928"
"Lithium QuickStart (1)","Member Quantity: How is your community growing?","","New Users","NEW USERS
Measures the quantity of new users by period. Find trends in increased new users and identify strategies for increasing community membership.","1749546180","Registered Users","ef91f28e-4322-4677-862e-aa693f20d928"
"Lithium QuickStart (1)","Executive Pulse: 5 metrics to check daily.","","User Rankings","USER RANKINGS
Organizes users based on their ranking within the community. Monitor how users are advancing through the ranks and take actions to stimulate user activity and increase content quality.","1021620641","Registered Users","ef91f28e-4322-4677-862e-aa693f20d928"
"Lithium QuickStart (1)","Member Quantity: How is your community growing?","","New Users This Month","NEW USERS THIS MONTH
Compares new users this month to last month by percentage difference. Monitor fluctuations and identify best practices for increasing new users monthly.","704867774","Registered Users","ef91f28e-4322-4677-862e-aa693f20d928"
