"connector","collection","collection_description","card","card_description","card_id","data_name","dataset_id"
"Salesforce QuickStart","Executive Pulse: 6 metrics you should check every morning.","","Projected Sales","PROJECTED SALES
Shows the amount of sales revenue over time (Maximum 4 quarters) and forecasts revenue for this period. Compare forecasts to your goals and make adjustments, as necessary.","106405595","Salesforce","607e56ea-17e3-42cd-9c3c-af7dfad4ab67"
"Salesforce QuickStart","Executive Pulse: 6 metrics you should check every morning.","","Bottom Sales Rep Closes","BOTTOM SALES REP CLOSES
Ranks the 10 bottom performing sales reps by closed opportunities. Follow up with the reps to determine if they need additional training or other help to improve performance. ","422874481","Salesforce","607e56ea-17e3-42cd-9c3c-af7dfad4ab67"
"Salesforce QuickStart","Sales Reps: Recognize, reward and position your top talent for top performance.","","Top 10 Closers","TOP 10 CLOSERS
Ranks the top 10 performing sales reps by number of deals closed. Reward top performers and leverage their experience closing deals to help jumpstart stalled opportunities. Consider refocusing top closers to higher value deals to increase their revenue impact.","1082967608","Salesforce","607e56ea-17e3-42cd-9c3c-af7dfad4ab67"
"Salesforce QuickStart","Leads and Opportunities: See where most of your prospects are coming from.","","Lead Sources",,"703512701","Salesforce","607e56ea-17e3-42cd-9c3c-af7dfad4ab67"
"Salesforce QuickStart","Executive Pulse: 6 metrics you should check every morning.","","Sales Pipeline","SALES PIPELINE
Shows total open opportunity value by stage. Analyze deals in each stage of the pipeline for amount and quality. Maintain a healthy pipeline by focusing on shrinking stages. To achieve current period growth, focus on high probability sales in the later stages of the pipeline.","888298690","Salesforce","607e56ea-17e3-42cd-9c3c-af7dfad4ab67"
"Salesforce QuickStart","Sales: What you can do today to exceed your sales goals.","","Average Sales Cycle","AVERAGE SALES CYCLE
Measures the average sales cycle length in days for deals closed. Decrease average sales cycle by training sales staff on messaging, positioning and on guiding prospects through a clear decisioning process.","1642187060","Salesforce","607e56ea-17e3-42cd-9c3c-af7dfad4ab67"
"Salesforce QuickStart","Executive Pulse: 6 metrics you should check every morning.","","Top Sales Sources","TOP SALES SOURCES
Shows the revenue generated by lead source as a percentage of total revenue. Combine this data with average deal size and budget by source to identify over/under-performing sources. Reallocate funds to top performing sources.","1870789937","Salesforce","607e56ea-17e3-42cd-9c3c-af7dfad4ab67"
"Salesforce QuickStart","Leads and Opportunities: See where most of your prospects are coming from.","","Open Opportunities","OPEN OPPORTUNITIES
Tracks the number of open opportunities by pipeline stage in the specified period. Too many lagging opportunities can indicate an ineffective process. Opportunities in the later stages should be prioritized to convert in the current period.","1169996081","Salesforce","607e56ea-17e3-42cd-9c3c-af7dfad4ab67"
"Salesforce QuickStart","Executive Pulse: 6 metrics you should check every morning.","","Leads, Closes and Wins","LEADS, CLOSES, AND WINS
Shows the number of leads as a total of open, closed and won opportunities over the specified period. Find trends in closed deal growth to identify sales best practices.","1870484677","Salesforce","607e56ea-17e3-42cd-9c3c-af7dfad4ab67"
"Salesforce QuickStart","Sales Reps: Recognize, reward and position your top talent for top performance.","","Bottom Sales Rep Wins","BOTTOM SALES REP WINS
Ranks the 10 lowest performing sales reps by won revenue. Follow up with the reps to determine if they need additional training or other help to improve performance.","1063021749","Salesforce","607e56ea-17e3-42cd-9c3c-af7dfad4ab67"
